Rome: The Punic Wars - The First Punic War - Extra History - #1,2013-09-06,4227657,54452,960,2827,EbBHk_zLTmY,553.0
Rome: The Punic Wars - The Second Punic War Begins - Extra History - #2,2013-09-13,2366128,30445,414,1514,lf0-Yki5p40,666.0
Rome: The Punic Wars - The Second Punic War Rages On - Extra History - #3,2013-09-20,2044796,28858,303,1782,wT_rev5VAQc,758.0
Rome: The Punic Wars - The Conclusion of the Second Punic War - Extra History - #4,2013-09-27,1875012,33865,263,2073,McT1H-NVCMQ,700.0
World War I: The Seminal Tragedy - The Concert of Europe - Extra History - #1,2014-08-31,2869786,41049,647,2863,S-wSL4WqUws,594.0
World War I: The Seminal Tragedy - One Fateful Day in June - Extra History - #2,2014-09-13,2103547,31382,454,2891,kyCmh9G1fpo,497.0
World War I: The Seminal Tragedy - The July Crisis - Extra History - #3,2014-09-27,1911944,25160,232,1265,zroZqvr4whk,519.0
World War I: The Seminal Tragedy - The Final Act - Extra History - #4,2014-10-11,1816984,38321,263,3993,WukYrrTH3ms,715.0
World War I: The Seminal Tragedy - Lies - Extra History,2014-10-25,702944,12782,223,994,aiKGPAMIWKs,977.0
Warring States Japan: Sengoku Jidai - Battle of Okehazama - Extra History - #1,2014-11-08,3746473,47549,737,2345,hDsdkoln59A,563.0
Warring States Japan: Sengoku Jidai - The Siege of Inabayama Castle - Extra History - #2,2014-11-22,2444617,31020,309,1163,I2yT2nitGDk,461.0
Warring States Japan: Sengoku Jidai - Warrior Monks of Hongan-ji and Hiei - Extra History - #3,2014-12-06,2303148,29217,260,1561,G3frtoMaxZE,533.0
Warring States Japan: Sengoku Jidai - The Death of Oda Nobunaga - Extra History - #4,2014-12-20,2334279,28552,271,1754,ht6h4-MsMOY,560.0
Warring States Japan: Sengoku Jidai - How Toyotomi Unified Japan - Extra History - #5,2015-01-17,1934086,25993,237,1578,lBD8OAegEw0,542.0
Warring States Japan: Sengoku Jidai - The Campaign of Sekigahara - Extra History - #6,2015-01-31,1876705,31443,267,1643,5vscOHPFUf0,597.0
Warring States Japan: Sengoku Jidai - Lies - Extra History,2015-02-14,570293,8294,333,759,0lNYvGEmRO4,833.0
England: South Sea Bubble - The Sharp Mind of John Blunt - Extra History - #1,2015-02-28,2540633,34841,476,1992,k1kndKWJKB8,549.0
England: South Sea Bubble - Too Big to Fail - Extra History - #2,2015-03-14,1781468,21585,249,1015,Fsk6oZm1EEA,513.0
England: South Sea Bubble - Buying Out Britain - Extra History - #3,2015-03-28,1610916,20292,168,920,1vcF5rebN20,576.0
England: South Sea Bubble - The Bubble Pops - Extra History - #4,2015-04-11,1437579,18883,154,577,SIlnsP6AjP8,416.0
England: South Sea Bubble - It Was Walpole - Extra History - #5,2015-04-25,1438917,24233,180,1645,a_1IpUCUuVc,530.0
England: South Sea Bubble - Lies - Extra History,2015-05-09,493026,7714,168,698,NqeXXzKTzRU,1263.0
Africa: Zulu Empire - Shaka Zulu Becomes King - Extra History - #1,2015-05-16,2568207,38861,825,2837,BZLGKFWlRzY,452.0
Africa: Zulu Empire - The Wrath of Shaka Zulu - Extra History - #2,2015-05-23,1796769,23980,294,1532,GUpaZ0hMso4,517.0
Africa: Zulu Empire - Diamonds in South Africa - Extra History - #3,2015-05-30,1516670,20720,244,1233,-JG-5otw0O8,544.0
Africa: Zulu Empire - Last Stands and Changing Fortunes - Extra History - #4,2015-06-06,1427370,23039,243,2182,KG_mbCgp_zU,558.0
Zulu Empire - Lies - Extra History,2015-06-13,436997,6633,149,415,0C6pjINyK5Y,723.0
Byzantine Empire: Justinian and Theodora - From Swineherd to Emperor - Extra History - #1,2015-06-20,2510739,31401,500,1525,H_2E0RxVHH4,489.0
Byzantine Empire: Justinian and Theodora - The Reforms of Justinian - Extra History - #2,2015-06-27,1849334,24176,215,947,klq84Z9O4GU,581.0
Byzantine Empire: Justinian and Theodora - Purple is the Noblest Shroud - Extra History - #3,2015-07-04,1663269,22133,226,1168,eGL_M1SQV5E,543.0
Byzantine Empire: Justinian and Theodora - Vanquishing the Vandals - Extra History - #4,2015-07-11,1532705,20207,186,784,_NpDvBX2XEI,522.0
Byzantine Empire: Justinian and Theodora - Impossible Burden of Fate - Extra History - #5,2015-07-18,1426332,19392,152,714,oakBpmsJJ9Q,493.0
